0.038035,-0.09243,-0.010344,0.016422
-0.17439,0.26392,0.0048237,-0.010486
-0.64353,0.92146,-0.021551,0.054898
-1.5306,2.0747,-0.084865,0.11369
0.49664,-1.1523,-0.10249,0.1025
1.4785,-2.389,-0.054137,0.075926
-0.56515,0.14245,-0.055571,-0.012137
-0.53087,0.075273,-0.03832,0.013901
0.46938,-1.0646,-0.053449,-0.063529
-0.49113,0.065798,-0.074116,-0.036322
0.082199,-0.50767,-0.072772,-0.056468
0.99245,-1.3871,-0.049404,-0.13367
0.020781,-0.012353,-0.018744,-0.14801
2.1381,-2.6441,0.054282,-0.18765
1.6289,-1.8104,0.099815,-0.3492
-0.78956,2.3745,0.15297,-0.32077
-0.6252,2.1887,0.10929,-0.18282
-0.18949,1.7373,0.088181,-0.12338
-0.12337,1.677,0.087939,0.023897
-0.075424,1.5981,0.075626,0.049374
-0.81721,1.872,0.07857,0.14822
-1.3416,2.1947,-0.03335,0.26381
-2.7473,4.311,-0.079348,0.38662
-1.3522,1.9168,-0.23419,0.64704
2.5286,-3.8865,-0.14569,0.52033
2.242,-1.9726,-0.052182,0.37458
0.025392,-1.4241,0.0091463,0.28897
-0.011376,-1.4912,0.008149,0.21189
1.4626,-0.26581,0.024104,0.17321
-0.57357,-2.0431,0.075989,0.13968
0.74351,-0.73639,0.078818,0.034368
-0.36953,-1.7985,0.066405,0.012779
-0.95094,-2.1548,0.043277,-0.13152
0.49758,-1.184,0.0037157,-0.21227
1.329,-1.5209,0.10051,-0.23884
0.33098,-1.9992,0.11023,-0.33184
2.4987,-4.6189,0.19128,-0.5339
-2.6794,3.4792,0.20623,-0.56409
-1.7115,2.2991,0.077995,-0.41081
-0.74751,1.2667,0.027014,-0.30559
-0.18914,1.1443,-0.019041,-0.25228
-1.0269,1.3202,-0.067033,-0.16237
-1.038,1.4496,-0.079911,-0.13809
0.55676,1.8048,-0.10485,-0.028796
0.53938,1.603,-0.084248,0.045534
-0.3927,1.5718,-0.081994,0.12034
0.036619,1.4623,-0.057345,0.19747
-2.2841,3.7644,-0.11724,0.32054
