1.1338,-1.0922,0.75862,-0.52176,0.089086,-1.4629
0.12645,-0.51536,0.57454,-0.24845,-0.071893,-1.0805
-0.53068,2.5084,0.26448,-0.2153,-0.643,-0.044048
0.061529,-1.077,1.4046,-0.48445,1.0652,-2.2932
0.22689,-1.0243,0.21504,-0.20613,-0.1309,-0.29609
-0.068241,0.021632,0.20413,-0.3626,0.33307,-0.83789
-0.034424,-0.050807,0.74374,-0.2815,-0.14025,-1.2341
0.28653,0.17073,0.352,-1.3411,0.22082,-0.4183
0.097709,-0.37131,1.036,0.11186,-0.12454,-0.3956
-0.3913,0.099314,0.61451,-1.3082,0.527,-1.5159
-0.13854,-0.63439,0.8381,-0.18927,0.50508,-0.48445
-0.19672,0.066511,0.51714,-1.2711,0.60934,-1.5364
0.039049,-0.64765,0.45937,-0.43496,-0.16533,-1.0035
0.3014,-0.43588,0.83227,-0.64238,0.64686,-1.2583
-0.39593,1.6564,0.64069,-1.1429,0.58763,-1.6435
-0.66141,0.13675,1.1742,-1.2301,0.25422,-2.6873
-0.50994,0.65547,-0.067815,-1.0095,0.2587,-1.4009
-0.028157,0.60221,0.27516,-1.2607,0.089698,-1.2514
-0.056479,0.70062,0.529,-0.5686,0.40031,-1.4881
0.053979,-0.29354,-0.043596,-1.9348,0.0068137,-1.1233
-0.22787,-0.71723,1.2652,-0.85373,0.16315,-1.3044
0.76917,0.93617,1.0912,-0.90699,0.76618,-0.15225
0.55142,0.041724,0.14026,-1.7171,0.081269,-0.95039
1.2391,0.41839,0.61989,-0.99325,0.19768,-1.5273
-0.30133,-0.53399,0.44642,-0.57395,0.026799,-2.1053
-0.070871,0.20051,-0.2701,-0.95578,0.096671,-0.76998
0.98306,0.4006,0.28045,-1.4294,0.10753,-0.44795
-0.2896,0.30865,1.1032,-0.94014,0.3537,-1.9045
-0.55032,0.31744,-0.21411,-1.8925,-0.14943,-0.69241
0.45798,0.58579,0.5564,-0.60784,0.37736,-1.2163
0.66445,-1.0662,0.86563,-1.1634,0.33579,-0.78211
1.4246,1.6003,0.79823,-0.64201,0.54518,-1.6763
0.0019022,0.27272,-0.63331,-0.88033,0.12249,-0.39897
0.33272,0.57742,0.64113,-1.1695,0.22067,-1.3747
