-0.053652,0.10617,-0.0027862,-1,0.006215,-0.99998,0.090363
-0.015617,0.013744,0.0075573,-0.99997,-0.010207,-0.99995,-0.27661
-0.19001,0.27766,0.0027336,-1,0.00027915,-1,-1.0472
-0.83354,1.1991,0.024282,-0.99971,-0.054592,-0.99851,-2.8347
-2.3642,3.2738,0.10893,-0.99405,-0.16752,-0.98587,-0.4643
-1.8675,2.1215,0.21006,-0.97769,-0.26752,-0.96355,1.4646
-0.38903,-0.26753,0.26266,-0.96489,-0.33983,-0.94049,-2.6882
-0.95417,-0.12508,0.31584,-0.94881,-0.32839,-0.94454,-2.9534
-1.485,-0.049805,0.35196,-0.93601,-0.34149,-0.93988,-0.91523
-1.0157,-1.1144,0.40146,-0.91588,-0.28113,-0.95967,-3.2646
-1.5068,-1.0486,0.46818,-0.88363,-0.2461,-0.96925,-2.1549
-1.4246,-1.5563,0.53119,-0.84725,-0.191,-0.98159,-0.20048
-0.43215,-2.9434,0.57238,-0.81999,-0.058484,-0.99829,-2.4855
-0.41137,-2.9557,0.58765,-0.80912,0.089374,-0.996,1.5248
1.7267,-5.5998,0.54288,-0.83981,0.27361,-0.96184,1.132
3.3556,-7.4102,0.4565,-0.88973,0.58618,-0.81018,-0.47691
2.566,-5.0357,0.3156,-0.94889,0.81173,-0.58403,-0.37776
1.9408,-2.847,0.21022,-0.97765,0.90438,-0.42672,0.058321
1.7513,-1.1097,0.1233,-0.99237,0.95002,-0.31218,0.19662
1.628,0.56736,0.035671,-0.99936,0.94229,-0.33479,0.51015
1.5526,2.1655,-0.039937,-0.9992,0.92462,-0.38089,-0.97425
0.73535,4.0375,-0.11824,-0.99299,0.85824,-0.51326,-1.1447
-0.60629,6.2322,-0.085064,-0.99638,0.69471,-0.71929,-2.2871
-3.3536,10.543,-0.0058193,-0.99998,0.37221,-0.92815,-2.8972
-4.7058,12.46,0.22639,-0.97404,-0.26253,-0.96492,-0.74665
-2.1772,8.5734,0.3654,-0.93085,-0.70751,-0.7067,2.1306
0.06478,6.6009,0.41345,-0.91053,-0.91702,-0.39883,-3.4224
0.090172,5.1768,0.40511,-0.91427,-0.99266,-0.12097,-1.8682
0.078796,3.6856,0.39764,-0.91754,-0.9959,0.090495,3.037
1.5414,3.4198,0.37541,-0.92686,-0.9654,0.26078,-1.9124
0.96781,1.3767,0.30397,-0.95268,-0.91969,0.39265,2.0016
1.7113,0.64034,0.22801,-0.97366,-0.90565,0.42402,-0.6249
1.3418,-1.1582,0.1629,-0.98664,-0.90016,0.43555,-2.6643
0.39084,-3.313,0.12006,-0.99277,-0.94951,0.31374,0.94059
0.88842,-4.4969,0.11637,-0.99321,-0.9943,0.10666,2.5367
2.2174,-6.0178,0.016126,-0.99987,-0.9913,-0.1316,-2.3923
2.5484,-8.0171,-0.093965,-0.99558,-0.89435,-0.44737,0.7083
5.0472,-12.636,-0.28153,-0.95955,-0.54222,-0.84024,-2.6767
2.3677,-9.1567,-0.47205,-0.88157,-0.0089856,-0.99996,0.88269
0.65627,-6.8576,-0.5393,-0.84211,0.3911,-0.92035,2.3459
-0.091242,-5.5909,-0.56185,-0.82724,0.64988,-0.76004,3.0828
-0.28038,-4.4466,-0.546,-0.83778,0.81902,-0.57377,-0.5911
-1.3073,-3.1263,-0.48866,-0.87248,0.901,-0.43383,-1.5958
-2.3453,-1.6767,-0.41745,-0.9087,0.95214,-0.30568,2.996
-1.7885,0.12807,-0.32006,-0.9474,0.96054,-0.27814,2.9492
-1.2491,1.7311,-0.2392,-0.97097,0.94689,-0.32157,0.29417
-1.6418,3.3028,-0.15887,-0.9873,0.90143,-0.43292,2.1902
-1.6052,4.7652,-0.10203,-0.99478,0.79898,-0.60136,-2.3354
-3.8894,8.5296,0.015037,-0.99989,0.56881,-0.82247,-1.2573
-5.5191,11.603,0.28554,-0.95837,0.059673,-0.99822,1.1052
