0.99966,0.99966,0.99966,0.99964,0.99956,0.99951,0.9995,0.99946,0.99943,0.99941,0.99938,0.99939,0.99942,0.99945,0.99938,0.99898,0.99834,0.99773,0.99748,0.99775,0.99843,0.99914,0.99959,0.99958,0.99875,0.99641,0.99163,0.98413,0.97557,0.96928,0.96784,0.97162,0.98011,0.98904,0.99536,0.99844,0.99947,0.99953,0.99919,0.9985,0.99728,0.9958,0.99501,0.99534,0.9964,0.99772,0.99878,0.99944,0.99963,0.99931,0.99842,0.99669,0.99462,0.99305,0.99286,0.99427,0.99635,0.99825,0.99937,0.9996
0.99966,0.99966,0.99965,0.99965,0.99964,0.99963,0.99959,0.99951,0.99945,0.99946,0.99949,0.99951,0.99956,0.99953,0.99911,0.9981,0.99671,0.99586,0.99595,0.99695,0.99816,0.99898,0.99942,0.99962,0.99957,0.99921,0.99857,0.9977,0.99702,0.99687,0.99739,0.99817,0.9988,0.99933,0.9996,0.99964,0.99963,0.99965,0.99964,0.9996,0.99955,0.99947,0.99934,0.99901,0.99853,0.99805,0.9977,0.99793,0.99851,0.99911,0.99952,0.99966,0.99933,0.99816,0.99536,0.99055,0.98506,0.98118,0.98129,0.98532
0.99966,0.99963,0.9996,0.99956,0.99951,0.99953,0.99957,0.99962,0.99964,0.99962,0.99959,0.99953,0.99952,0.99954,0.99955,0.99952,0.99953,0.9996,0.99963,0.99964,0.99964,0.99962,0.99957,0.9995,0.99943,0.99946,0.99947,0.99947,0.99947,0.99942,0.99932,0.99929,0.99933,0.99944,0.99955,0.99964,0.99961,0.99945,0.99919,0.99902,0.99902,0.9991,0.99921,0.9991,0.99877,0.99837,0.99813,0.99835,0.99882,0.99926,0.99955,0.99954,0.999,0.99804,0.99734,0.99733,0.99773,0.9982,0.99808,0.99485
0.99966,0.99966,0.99961,0.99947,0.99942,0.99947,0.99955,0.99964,0.99962,0.99931,0.99873,0.99808,0.99762,0.9977,0.99838,0.99916,0.99962,0.99958,0.99906,0.99789,0.99651,0.99554,0.99532,0.99605,0.99722,0.99833,0.9991,0.99948,0.99957,0.99943,0.99917,0.99897,0.99891,0.99904,0.99924,0.99938,0.99947,0.99954,0.99959,0.9996,0.99962,0.99954,0.99923,0.99875,0.99807,0.99736,0.99729,0.99776,0.99849,0.99909,0.99929,0.99926,0.99908,0.99882,0.99877,0.99913,0.9995,0.99966,0.9995,0.99889
0.99966,0.99966,0.99966,0.99966,0.99966,0.99964,0.99965,0.99966,0.99966,0.99964,0.99964,0.99966,0.99965,0.99961,0.99955,0.99946,0.99931,0.99921,0.99934,0.99954,0.99962,0.99955,0.99923,0.99873,0.99843,0.99854,0.99883,0.99907,0.99931,0.99957,0.99965,0.99939,0.99884,0.99823,0.99775,0.99755,0.99781,0.99842,0.9991,0.99954,0.9996,0.99951,0.99941,0.99932,0.99929,0.99937,0.99954,0.99966,0.9995,0.99908,0.99882,0.99896,0.99931,0.99955,0.99963,0.99946,0.99915,0.9989,0.99892,0.99907
0.99966,0.99958,0.99937,0.99898,0.99838,0.99784,0.99792,0.99861,0.99932,0.99953,0.99826,0.99352,0.98572,0.98118,0.98191,0.98501,0.98786,0.98955,0.99021,0.98995,0.98879,0.98703,0.98564,0.98548,0.98597,0.98601,0.98506,0.98278,0.97848,0.97062,0.95673,0.93596,0.91458,0.90439,0.91168,0.93137,0.95319,0.97064,0.98215,0.989,0.99293,0.9951,0.99611,0.99619,0.9959,0.99614,0.99702,0.99784,0.99809,0.99782,0.99705,0.99574,0.99394,0.99217,0.99135,0.99215,0.99427,0.99663,0.99838,0.99935
0.99966,0.99957,0.99936,0.99925,0.9994,0.99963,0.99954,0.99854,0.9955,0.99,0.98473,0.98216,0.98034,0.97665,0.96893,0.954,0.92711,0.88931,0.85512,0.83655,0.82754,0.82158,0.82672,0.84671,0.87329,0.88903,0.87263,0.81752,0.76038,0.73107,0.72843,0.74292,0.76748,0.79761,0.82897,0.85777,0.88063,0.89447,0.89687,0.88694,0.86906,0.85337,0.84709,0.84925,0.8548,0.85992,0.86307,0.86453,0.86509,0.86516,0.86505,0.86498,0.86489,0.86477,0.86467,0.86456,0.86447,0.86441,0.86436,0.86443
0.99966,0.99956,0.99935,0.99924,0.9994,0.99963,0.99954,0.99854,0.99552,0.98995,0.98438,0.98135,0.97877,0.97346,0.96251,0.94134,0.90297,0.84732,0.79286,0.75621,0.73331,0.72246,0.72867,0.75396,0.7964,0.84379,0.87803,0.87856,0.8304,0.7544,0.68509,0.6385,0.62131,0.63334,0.67085,0.72653,0.78723,0.83628,0.86425,0.87,0.86102,0.85124,0.84705,0.84652,0.84791,0.85055,0.85406,0.85802,0.86195,0.86553,0.86879,0.87021,0.86847,0.86364,0.85779,0.85286,0.85056,0.85052,0.85201,0.85476
0.99966,0.99956,0.99934,0.9992,0.99935,0.99961,0.99958,0.99869,0.9958,0.99022,0.98458,0.98184,0.97947,0.97303,0.95823,0.92697,0.86351,0.76328,0.65561,0.56927,0.51245,0.46675,0.43195,0.4258,0.46075,0.54013,0.65307,0.76794,0.8456,0.8691,0.84726,0.81169,0.78325,0.7633,0.75257,0.75212,0.7621,0.7815,0.80717,0.834,0.85523,0.86432,0.86291,0.85807,0.85271,0.84807,0.84431,0.84111,0.8398,0.84175,0.84731,0.85613,0.8658,0.87136,0.86954,0.86105,0.84994,0.83886,0.83024,0.82447
0.99966,0.99957,0.99934,0.99921,0.99936,0.99961,0.99958,0.99868,0.99582,0.99036,0.98488,0.98204,0.97911,0.97125,0.953,0.91352,0.83157,0.70438,0.5684,0.45328,0.37151,0.30694,0.2482,0.20515,0.18375,0.18595,0.21459,0.27499,0.37202,0.50252,0.6473,0.77256,0.8495,0.86938,0.84018,0.79124,0.74621,0.71222,0.69282,0.6907,0.70636,0.73854,0.78053,0.82161,0.85158,0.86518,0.86811,0.86562,0.85918,0.84879,0.83587,0.82198,0.80947,0.8028,0.80625,0.82142,0.84368,0.86175,0.86565,0.85504
